POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,Price_Lakhs,City,Locality,City_Grouped,Property_Id,Price_Per_SqFt,Log_Sqft,BHK_Sqft_Ratio,Is_RK,Is_Dealer_Or_Builder,Is_UC_RERA,Is_Resale_Ready,Is_Luxury
Owner,0,0,2,BHK,1300.236407,1,1,"Ksfc Layout,Bangalore",12.96991,77.59796,55.0,Bangalore,Ksfc Layout,Bangalore,1,4229.999998761763,7.1710701737651075,650.1182035,0,0,0,1,0
Dealer,0,0,2,BHK,1275.0,1,1,"Vishweshwara Nagar,Mysore",12.274538,76.644605,51.0,Mysore,Vishweshwara Nagar,Other_City,2,4000.0,7.151485463904735,637.5,0,1,0,1,0
Owner,0,0,2,BHK,933.1597222,1,1,"Jigani,Bangalore",12.778033,77.632191,43.0,Bangalore,Jigani,Bangalore,3,4608.000000109734,6.8396474323879515,466.5798611,0,0,0,1,0
Owner,0,1,2,BHK,929.9211427,1,1,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,62.5,Ghaziabad,Sector-1 Vaishali,Ghaziabad,4,6720.999999906766,6.836174571971092,464.96057135,0,0,0,1,0
Dealer,1,0,2,BHK,999.009247,0,1,"New Town,Kolkata",22.5922,88.484911,60.5,Kolkata,New Town,Kolkata,5,6056.0000001681665,6.907764525939384,499.5046235,0,1,0,0,0
Owner,0,0,3,BHK,1250.0,1,1,"South Chittoor,Kochi",10.03328,76.28257099999999,42.0,Kochi,South Chittoor,Kochi,6,3360.0,7.1316985104669115,416.6666666666667,0,0,0,1,0
Dealer,0,0,3,BHK,1495.053957,1,1,"Sodala,Jaipur",26.916347,75.7956,66.5,Jaipur,Sodala,Jaipur,7,4447.99999950771,7.310586225397374,498.35131900000005,0,1,0,1,0
Owner,0,1,3,BHK,1181.012946,1,1,"Kharar,Mohali",30.74,76.65,52.0,Mohali,Kharar,Mohali,8,4402.999998951747,7.074974150528737,393.67098200000004,0,0,0,1,0
Dealer,0,1,2,BHK,1040.0,1,1,"Bileshivale,Bangalore",13.054202,77.674002,41.6,Bangalore,Bileshivale,Bangalore,9,4000.0,6.947937068614969,520.0,0,1,0,1,0
Owner,0,1,2,BHK,879.1208791000001,1,1,"Chromepet,Chennai",12.95161,80.14097,36.0,Chennai,Chromepet,Chennai,10,4095.0000000972555,6.780059260652509,439.56043955000007,0,0,0,1,0
