Feature,Importance,Rank
Log_Sqft,0.17327121,1
City_Grouped_Surat,0.12549064,2
City_Grouped_Lalitpur,0.092214406,3
POSTED_BY_Dealer,0.07290458,4
SQUARE_FT,0.0640941,5
BHK_NO,0.056720767,6
LATITUDE,0.05609074,7
City_Grouped_Maharashtra,0.046288375,8
LONGITUDE,0.043594092,9
City_Grouped_Mumbai,0.037012156,10
City_Grouped_Other_City,0.0300156,11
BHK_Sqft_Ratio,0.02205406,12
City_Grouped_Gurgaon,0.016026085,13
RERA,0.0154507775,14
City_Grouped_Kochi,0.012914455,15
City_Grouped_Vadodara,0.012275725,16
City_Grouped_Pune,0.012097746,17
Is_Dealer_Or_Builder,0.011952329,18
City_Grouped_Noida,0.011402286,19
City_Grouped_Faridabad,0.011241061,20
