City,BHK_NO,AvgPrice_Lakhs,MedianPrice_Lakhs,AvgPricePerSqFt,MedianPricePerSqFt,PropertyCount,ValuationIndex
Agra,2,28.7,27.95,2757.57,2567.5,44,54.33
Agra,3,53.0,46.0,3304.39,3057.0,33,65.1
Ahmednagar,1,42.05,18.85,8163.0,2937.5,14,160.82
Ahmednagar,2,34.29,32.0,3815.67,3880.0,9,75.17
Ajmer,2,33.84,34.9,2919.0,2790.0,7,57.51
Ajmer,3,40.29,45.9,2819.18,2790.0,11,55.54
Akola,1,21.9,23.0,3492.8,3538.0,5,68.81
Aligarh,2,25.68,22.4,4851.2,2498.0,5,95.57
Aligarh,3,40.41,38.5,2953.56,3076.0,9,58.19
Allahabad,1,24.1,28.0,4450.8,5000.0,5,87.68
Allahabad,2,48.46,41.6,4613.13,3998.0,31,90.88
Allahabad,3,70.51,60.0,5055.69,4232.0,13,99.6
Alwar,3,26.65,26.0,2094.17,2040.0,6,41.26
Amravati,1,20.8,22.0,3461.0,3334.0,5,68.18
Amravati,2,37.64,34.85,3950.5,3718.0,22,77.83
Amritsar,2,32.89,35.0,3032.22,2778.0,9,59.74
Anand,1,11.09,12.25,1565.5,1571.5,8,30.84
Anand,2,56.06,26.0,7157.78,2195.0,27,141.01
Anand,3,38.13,35.0,2160.92,2117.0,13,42.57
Asansol,2,23.31,23.0,2391.19,2350.0,21,47.11
Asansol,3,33.49,28.85,2582.5,2355.5,10,50.88
Aurangabad,1,18.99,18.0,3141.48,3040.0,21,61.89
Aurangabad,2,34.51,30.5,4013.19,3554.5,36,79.06
Aurangabad,3,61.25,52.5,4822.63,4466.5,8,95.01
Bahadurgarh,1,21.92,18.5,3531.17,3278.0,6,69.57
Bahadurgarh,2,37.7,32.25,2903.85,2667.0,20,57.21
Bahadurgarh,3,52.72,48.0,3304.18,2903.0,17,65.09
Bahadurgarh,4,61.05,52.55,2588.0,2539.0,6,50.99
